area,perimeter,inertia11,inertia12,inertia21,inertia22,x,y,density_around,area_around,N,NW,img
1.0,0.0,0.0,-0.0,-0.0,0.0,109.0,41.0,16.0,0.042,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,361.0,41.0,18.0,0.0572,150.0,33.0,0.0
13.0,10.207106781186548,1.8698224852071006,-0.26627218934911245,-0.26627218934911245,0.5917159763313611,483.7692307692308,42.15384615384615,15.0,0.0268,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,522.3333333333334,41.666666666666664,21.0,0.0564,150.0,33.0,0.0
9.0,7.621320343559642,0.8888888888888888,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,372.6666666666667,43.0,16.0,0.0292,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,492.3333333333333,42.666666666666664,13.0,0.0476,150.0,33.0,0.0
14.0,10.82842712474619,4.265306122448979,-1.6224489795918366,-1.6224489795918366,0.9438775510204082,607.8571428571429,43.357142857142854,19.0,0.06,150.0,33.0,0.0
14.0,11.035533905932738,1.8826530612244898,-0.16326530612244897,-0.16326530612244897,0.8163265306122448,31.785714285714285,44.42857142857143,17.0,0.048,150.0,33.0,0.0
5.0,5.207106781186548,0.24000000000000005,-0.12,-0.12,0.56,151.4,44.2,15.0,0.0524,150.0,33.0,0.0
8.0,8.414213562373096,0.75,0.75,0.75,1.25,290.5,44.5,25.0,0.0516,150.0,33.0,0.0
10.0,8.621320343559642,0.9600000000000002,-0.6,-0.6,1.05,474.2,44.5,17.0,0.0252,150.0,33.0,0.0
7.0,6.414213562373095,0.8163265306122449,-0.5102040816326531,-0.5102040816326531,0.6938775510204083,555.4285714285714,44.142857142857146,12.0,0.0516,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,601.0,43.0,19.0,0.0308,150.0,33.0,0.0
11.0,9.82842712474619,1.471074380165289,-0.2727272727272727,-0.2727272727272727,0.5454545454545454,130.27272727272728,45.0,15.0,0.042,150.0,33.0,0.0
5.0,5.207106781186548,0.24000000000000005,-0.12,-0.12,0.56,254.4,45.2,15.0,0.0312,150.0,33.0,0.0
13.0,10.207106781186548,1.8698224852071006,0.2662721893491124,0.2662721893491124,0.5917159763313607,259.7692307692308,44.84615384615385,16.0,0.04,150.0,33.0,0.0
22.0,15.278174593052022,4.332644628099174,-1.1508264462809918,-1.1508264462809918,1.2417355371900827,268.59090909090907,45.59090909090909,21.0,0.0552,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,326.6666666666667,44.666666666666664,15.0,0.0412,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,594.0,44.5,16.0,0.0456,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,2.0,45.0,18.0,0.0656,150.0,33.0,0.0
9.0,9.207106781186548,2.2222222222222223,1.1111111111111112,1.1111111111111112,0.8395061728395061,44.0,48.77777777777778,15.0,0.066,150.0,33.0,0.0
21.0,14.278174593052022,1.8095238095238095,0.42857142857142855,0.42857142857142855,2.2448979591836737,414.0,49.57142857142857,14.0,0.0324,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,452.3333333333333,47.333333333333336,9.0,0.04,150.0,33.0,0.0
7.0,6.82842712474619,0.5714285714285714,-0.0,-0.0,0.489795918367347,546.0,48.285714285714285,18.0,0.068,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,607.0,47.5,14.0,0.0332,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,61.5,48.5,15.0,0.0448,150.0,33.0,0.0
5.0,5.207106781186548,0.56,0.12,0.12,0.24000000000000005,231.2,48.6,10.0,0.016,150.0,33.0,0.0
